id,food,calorie,protein,lipid,carbohydrate,fiber,sugar_content,salt
211,とうもろこしでん粉　,354,0.1,0.7,86.3,0,86.3,0
212,くずきり　乾　,356,0.2,0.2,87.7,0.9,86.8,0
213,くずきり　ゆで　,135,0.1,0.1,33.3,0.8,32.5,0
214,ごま豆腐　,81,1.5,4.3,9.1,1,8.1,0
215,タピオカパール　乾　,355,0,0.2,87.8,0.5,87.3,0
216,タピオカパール　ゆで　,62,0,0,15.4,0.2,15.2,0
217,でん粉めん　生　,131,0.1,0.2,32.2,0.8,31.4,0
218,でん粉めん　乾　,353,0.2,0.3,86.7,1.8,84.9,0.1
219,でん粉めん　乾　ゆで　,84,0,0.2,20.6,0.6,20,0
220,はるさめ　緑豆はるさめ　乾　,356,0.2,0.4,87.5,4.1,83.4,0
221,はるさめ　緑豆はるさめ　ゆで　,84,0,0.1,20.6,1.5,19.1,0
222,はるさめ　普通はるさめ　乾　,350,0,0.2,86.6,1.2,85.4,0
223,はるさめ　普通はるさめ　ゆで　,80,0,0,19.9,0.8,19.1,0
224,黒砂糖　,354,1.7,0,89.7,0,89.7,0.1
225,和三盆糖　,383,0.2,0,98.8,0,98.8,0
226,車糖　上白糖　,384,0,0,99.2,0,99.2,0
227,車糖　三温糖　,382,0,0,98.7,0,98.7,0
228,ざらめ糖　グラニュー糖　,387,0,0,100,0,100,0
229,ざらめ糖　白ざら糖　,387,0,0,100,0,100,0
230,ざらめ糖　中ざら糖　,387,0,0,100,0,100,0
231,加工糖　角砂糖　,387,0,0,100,0,100,0
232,加工糖　氷砂糖　,387,0,0,100,0,100,0
233,加工糖　コーヒーシュガー　,387,0.1,0,99.9,0,99.9,0
234,加工糖　粉糖　,386,0,0,99.7,0,99.7,0
235,液糖　しょ糖型液糖　,271,0,0,70,0,70,0
236,液糖　転化型液糖　,307,0,0,79.3,0,79.3,0
237,氷糖みつ　,265,0.2,0,68.2,0,68.2,0
238,粉あめ　,381,0,0,97,0,97,0
239,水あめ　酵素糖化　,328,0,0,85,0,85,0
240,水あめ　酸糖化　,328,0,0,85,0,85,0
241,ぶどう糖　全糖　,335,0,0,91,0,91,0
242,ぶどう糖　含水結晶　,336,0,0,91.3,0,91.3,0
243,ぶどう糖　無水結晶　,367,0,0,99.7,0,99.7,0
244,果糖　,368,0,0,99.9,0,99.9,0
245,異性化液糖　ぶどう糖果糖液糖　,276,0,0,75,0,75,0
246,異性化液糖　果糖ぶどう糖液糖　,276,0,0,75,0,75,0
247,異性化液糖　高果糖液糖　,276,0,0,75,0,75,0
248,黒蜜　,199,1,0,50.5,0,50.5,0
249,はちみつ　,294,0.2,0,79.7,0,79.7,0
250,メープルシロップ　,257,0.1,0,66.3,0,66.3,0
251,あずき　全粒　乾　,339,20.3,2.2,58.7,17.8,40.9,0
252,あずき　全粒　ゆで　,143,8.9,1,24.2,11.8,12.4,0
253,あずき　ゆで小豆缶詰　,218,4.4,0.4,49.2,3.4,45.8,0.2
254,あずき　あん　こしあん　,155,9.8,0.6,27.1,6.8,20.3,0
255,あずき　あん　さらしあん　,385,26.2,1,66.8,27.6,39.2,0
256,あずき　あん　つぶしあん　,244,5.6,0.6,54,5.7,48.3,0.1
257,いんげんまめ　全粒　乾　,333,19.9,2.2,57.8,19.3,38.5,0
258,いんげんまめ　全粒　ゆで　,143,8.5,1,24.8,13.3,11.5,0
259,いんげんまめ　うずら豆　,237,6.7,1.3,49.6,5.9,43.7,0.3
260,いんげんまめ　こしあん　,155,9.4,0.9,27,8.5,18.5,0
261,いんげんまめ　豆きんとん　,249,4.9,0.5,56.2,4.8,51.4,0.3
262,えんどう　全粒　青えんどう　乾　,352,21.7,2.3,60.4,17.4,43,0
263,えんどう　全粒　赤えんどう　乾　,352,21.7,2.3,60.4,17.4,43,0
264,えんどう　全粒　青えんどう　ゆで　,148,9.2,1,25.2,7.7,17.5,0
265,えんどう　全粒　赤えんどう　ゆで　,148,9.2,1,25.2,7.7,17.5,0
266,えんどう　グリンピース（揚げ豆）　,423,20.8,11.6,58.8,19.6,39.2,0.9
267,えんどう　塩豆　,364,23.3,2.4,61.5,17.9,43.6,1.5
268,えんどう　うぐいす豆　,240,5.6,0.7,52.9,5.3,47.6,0.4
269,ささげ　全粒　乾　,336,23.9,2,55,18.4,36.6,0
